<!DOCTYPE tei.2  SYSTEM "c:\sgml\dtd\tei2.dtd" [
	<!ENTITY % TEI.corpus "INCLUDE">
	<!ENTITY % TEI.extensions.ent SYSTEM "sejong1.ent">
	<!ENTITY % TEI.extensions.dtd SYSTEM "sejong1.dtd"> ]>
<tei.2>
	<teiHeader>
		<fileDesc>
			<titleStmt>
				<title>한국민속의 세계 1권</title>
				<author>고려대학교 민족문화연구원</author>
				<sponsor>국립국어원</sponsor>
				<respStmt>
					<resp>문헌입력, 표준화, 형태 정보 부착</resp>
					<name>고려대학교 민족문화연구원</name>
				</respStmt>
			</titleStmt>
			<extent>61967</extent>
			<publicationStmt>
				<distributor>국립국어원</distributor>
				<idno>BTHO0372, 원본: BRHO0372</idno>
				<availability><p>배포 불가</p></availability>
			</publicationStmt>
			<notesStmt>
				<note><p>21세기 세종계획 원시말뭉치에서 선정</p></note>
			</notesStmt>
			<sourceDesc>
				<bibl>
					<author>고려대학교 민족문화연구원</author>
					<title>한국민속의 세계 1권</title>
					<pubPlace>서울</pubPlace>
					<publisher>고려대학교 민족문화연구원</publisher>
					<date>2001</date>
				</bibl>
			</sourceDesc>
		</fileDesc>
		<encodingDesc>
			<projectDesc><p>21세기 세종계획 형태분석  말뭉치 구축 및 정제</p></projectDesc>
			<samplingDecl><p>21세기 세종계획 형태분석 말뭉치 파일 구축, 오류 수정 및 일관성 검사</p></samplingDecl>
			<editorialDecl><p>21세기 세종계획 원시 말뭉치 구축 지침(2004-1), 형태분석 말뭉치 구축지침(2005-1)에 따른 오류 수정 및 일관성 검사</p></editorialDecl>
		</encodingDesc>
		<profileDesc>
			<creation>
				<date>2003</date>
			</creation>
			<langUsage>
				<language id=KO usage=99>한국어, 표준어</language>
			</langUsage>
			<textClass>
				<catRef scheme='SJ21' target='M1351'</catRef>
			</textClass>
		</profileDesc>
		<revisionDesc>
			<respStmt>
				<resp>프로젝트 책임자</resp>
				<name>김흥규</name>
			</respStmt>
			<change>
				<date>2007</date>
				<respStmt>
					<resp>연구책임자</resp>
					<name>김흥규</name>
					<resp>연구원</resp>
					<name>강범모, 홍정하</name>
					<resp>연구보조원</resp>
					<name>김민지, 김보라, 김승우, 김윤희, 김주영, 여형옥, 왕정미, 정연주, 최민우, 허영진</name>
				</respStmt>
				<item>21세기 세종계획 원시 말뭉치 구축 지침(2004-1), 형태분석 말뭉치 구축지침(2005-1)에 따른 형태 정보 부착</item>
			</change>
		</revisionDesc>
	</teiHeader>
<text>
<body>
<head>
9BTHO0372-0000010	2.	2/SN + ./SF
9BTHO0372-0000020	가족제도	가족/NNG + 제도/NNG
</head>
<p>
9BTHO0372-0000030	한국인에게	한국인/NNG + 에게/JKB
9BTHO0372-0000040	가장	가장/MAG
9BTHO0372-0000050	영구적이고	영구/NNG + 적/XSN + 이/VCP + 고/EC
9BTHO0372-0000060	확고한	확고/XR + 하/XSA + ㄴ/ETM
9BTHO0372-0000070	집단은	집단/NNG + 은/JX
9BTHO0372-0000080	가족이다.	가족/NNG + 이/VCP + 다/EF + ./SF
9BTHO0372-0000090	어느	어느/MM
9BTHO0372-0000100	민족에	민족/NNG + 에/JKB
9BTHO0372-0000110	있어서나	있/VV + 어서/EC + 나/JX
9BTHO0372-0000120	가족이	가족/NNG + 이/JKS
9BTHO0372-0000130	중요한	중요/NNG + 하/XSA + ㄴ/ETM
9BTHO0372-0000140	것은	것/NNB + 은/JX
9BTHO0372-0000150	사실이지만	사실/NNG + 이/VCP + 지만/EC
9BTHO0372-0000160	가족을	가족/NNG + 을/JKO
9BTHO0372-0000170	중히	중히/MAG
9BTHO0372-0000180	여기는	여기/VV + 는/ETM
9BTHO0372-0000190	정도나	정도/NNG + 나/JC
9BTHO0372-0000200	가족생활의	가족생활/NNG + 의/JKG
9BTHO0372-0000210	성격은	성격/NNG + 은/JX
9BTHO0372-0000220	서로	서로/MAG
9BTHO0372-0000230	다르다.	다르/VA + 다/EF + ./SF
9BTHO0372-0000240	혼인으로	혼인/NNG + 으로/JKB
9BTHO0372-0000250	맺어진	맺/VV + 어/EC + 지/VX + ㄴ/ETM
9BTHO0372-0000260	부부와	부부/NNG + 와/JC
9BTHO0372-0000270	그	그/MM
9BTHO0372-0000280	사이에	사이/NNG + 에/JKB
9BTHO0372-0000290	낳은	낳/VV + 은/ETM
9BTHO0372-0000300	자녀들로	자녀/NNG + 들/XSN + 로/JKB
9BTHO0372-0000310	구성된	구성/NNG + 되/XSV + ㄴ/ETM
9BTHO0372-0000320	하나의	하나/NR + 의/JKG
9BTHO0372-0000330	거주	거주/NNG
9BTHO0372-0000340	단위	단위/NNG
9BTHO0372-0000350	및	및/MAG
9BTHO0372-0000360	경제적	경제/NNG + 적/XSN
9BTHO0372-0000370	단위가	단위/NNG + 가/JKS
9BTHO0372-0000380	가족이라	가족/NNG + 이/VCP + 라/EC
9BTHO0372-0000390	하지만,	하/VV + 지만/EC + ,/SP
9BTHO0372-0000400	그	그/MM
9BTHO0372-0000410	개념은	개념/NNG + 은/JX
9BTHO0372-0000420	사회에	사회/NNG + 에/JKB
9BTHO0372-0000430	따라	따르/VV + 아/EC
9BTHO0372-0000440	다양하다.	다양/NNG + 하/XSA + 다/EF + ./SF
9BTHO0372-0000450	예를	예/NNG + 를/JKO
9BTHO0372-0000460	들면	들/VV + 면/EC
9BTHO0372-0000470	부모자녀관계가	부모/NNG + 자녀/NNG + 관계/NNG + 가/JKS
9BTHO0372-0000480	중요하냐,	중요/NNG + 하/XSA + 냐/EC + ,/SP
9BTHO0372-0000490	부부관계가	부부/NNG + 관계/NNG + 가/JKS
9BTHO0372-0000500	중요하냐에	중요/NNG + 하/XSA + 냐/EC + 에/JKB
9BTHO0372-0000510	따라	따르/VV + 아/EC
9BTHO0372-0000520	다양한	다양/NNG + 하/XSA + ㄴ/ETM
9BTHO0372-0000530	차이가	차이/NNG + 가/JKS
9BTHO0372-0000540	나타난다.	나타나/VV + ㄴ다/EF + ./SF
9BTHO0372-0000550	또한	또한/MAG
9BTHO0372-0000560	혈연성이	혈연/NNG + 성/XSN + 이/JKS
9BTHO0372-0000570	강하냐,	강/XR + 하/XSA + 냐/EC + ,/SP
9BTHO0372-0000580	지연성이	지연/NNG + 성/XSN + 이/JKS
9BTHO0372-0000590	강하냐에	강/XR + 하/XSA + 냐/EC + 에/JKB
9BTHO0372-0000600	따라	따르/VV + 아/EC
9BTHO0372-0000610	민족마다	민족/NNG + 마다/JX
9BTHO0372-0000620	차이가	차이/NNG + 가/JKS
9BTHO0372-0000630	있다.	있/VV + 다/EF + ./SF
9BTHO0372-0000640	우리	우리/NP
9BTHO0372-0000650	나라의	나라/NNG + 의/JKG
9BTHO0372-0000660	가족생활은	가족생활/NNG + 은/JX
9BTHO0372-0000670	이웃	이웃/NNG
9BTHO0372-0000680	나라	나라/NNG
9BTHO0372-0000690	중국,	중국/NNP + ,/SP
9BTHO0372-0000700	일본과	일본/NNP + 과/JKB
9BTHO0372-0000710	여러가지로	여러/MM + 가지/NNB + 로/JKB
9BTHO0372-0000720	유사하면서도	유사/NNG + 하/XSA + 면서/EC + 도/JX
9BTHO0372-0000730	한국적	한국/NNP + 적/XSN
9BTHO0372-0000740	특징이	특징/NNG + 이/JKS
9BTHO0372-0000750	있다.	있/VV + 다/EF + ./SF
</p>
<p>
9BTHO0372-0000760	또한	또한/MAG
9BTHO0372-0000770	가족은	가족/NNG + 은/JX
9BTHO0372-0000780	모든	모든/MM
9BTHO0372-0000790	사회현상과	사회/NNG + 현상/NNG + 과/JKB
9BTHO0372-0000800	마찬가지로	마찬가지/NNG + 로/JKB
9BTHO0372-0000810	역사적	역사/NNG + 적/XSN
9BTHO0372-0000820	시간의	시간/NNG + 의/JKG
9BTHO0372-0000830	흐름에	흐름/NNG + 에/JKB
