장르	태그	상대빈도
A	NNG	0.281369
A	EC	0.054536
A	VV	0.053289
A	ETM	0.047727
A	NNB	0.043378
A	SN	0.042902
A	JKB	0.042893
A	NNP	0.035973
A	JX	0.034393
A	JKO	0.032817
A	SS	0.030625
A	XSV	0.029565
A	SF	0.024654
A	EF	0.02344
A	JKS	0.022279
A	SP	0.02073
A	XSN	0.020133
A	JKG	0.019569
A	MAG	0.017129
A	EP	0.017093
A	VX	0.016499
A	VCP	0.012393
A	VA	0.010603
A	MM	0.007961
A	NR	0.00787
A	SW	0.006674
A	NP	0.006539
A	JC	0.006197
A	XSA	0.006175
A	SL	0.005343
A	ETN	0.004779
A	XR	0.003571
A	XPN	0.003016
A	JKQ	0.001852
A	MAJ	0.00166
A	JKC	0.001348
A	VCN	0.001005
A	SO	0.00093
A	SE	0.000537
A	SH	0.000434
A	IC	8e-05
A	JKV	2.7e-05
A	NA	1.4e-05
B	NNG	0.243837
B	VV	0.065477
B	EC	0.061783
B	ETM	0.05666
B	JKB	0.043214
B	JX	0.037889
B	JKO	0.034153
B	NNB	0.033741
B	SF	0.032879
B	EF	0.03075
B	XSV	0.027224
B	NNP	0.026919
B	SS	0.026818
B	JKG	0.023879
B	JKS	0.023772
B	MAG	0.023509
B	SN	0.020411
B	EP	0.020356
B	SP	0.019574
B	VX	0.018285
B	XSN	0.017646
B	VCP	0.017286
B	VA	0.014927
B	MM	0.011634
B	NP	0.011405
B	XSA	0.009321
B	JC	0.006501
B	SH	0.006455
B	SL	0.005954
B	ETN	0.005319
B	XR	0.004751
B	NR	0.003904
B	SW	0.003052
B	MAJ	0.00296
B	XPN	0.002132
B	JKC	0.002129
B	VCN	0.001515
B	JKQ	0.000803
B	SE	0.000428
B	SO	0.000318
B	IC	0.000312
B	JKV	0.000101
B	NA	1.5e-05
D	NNG	0.275784
D	VV	0.074542
D	EC	0.062495
D	JKB	0.057865
D	ETM	0.046968
D	SF	0.041433
D	SP	0.037321
D	JKO	0.034504
D	EF	0.032031
D	JKG	0.030909
D	NNP	0.028882
D	NNB	0.027962
D	JX	0.027085
D	XSV	0.023376
D	JKS	0.022873
D	SN	0.022557
D	SS	0.017942
D	MAG	0.014477
D	VA	0.014132
D	VCP	0.013916
D	VX	0.013356
D	MM	0.01314
D	JC	0.010193
D	EP	0.010121
D	XSN	0.009632
D	SL	0.007763
D	XSA	0.005837
D	ETN	0.003997
D	NP	0.003824
D	XR	0.003005
D	SW	0.002415
D	XPN	0.002243
D	JKC	0.002027
D	SO	0.001912
D	NR	0.001625
D	MAJ	0.001064
D	SE	0.000331
D	VCN	0.000244
D	JKQ	0.000144
D	IC	2.9e-05
D	JKV	2.9e-05
D	NA	1.4e-05
E	NNG	0.179413
E	VV	0.095763
E	EC	0.09334
E	ETM	0.05577
E	JX	0.043112
E	SF	0.041228
E	JKB	0.040266
E	MAG	0.038958
E	EF	0.038911
E	JKO	0.034811
E	EP	0.034186
E	JKS	0.029678
E	VX	0.029008
E	NP	0.027169
E	NNB	0.024991
E	VA	0.021247
E	SS	0.021002
E	VCP	0.01937
E	JKG	0.015694
E	NNP	0.015602
E	XSV	0.013947
E	MM	0.013817
E	XSN	0.012663
E	XSA	0.011718
E	SP	0.011521
E	XR	0.00613
E	ETN	0.005448
E	JC	0.00418
E	MAJ	0.003954
E	NR	0.002389
E	JKC	0.002345
E	VCN	0.002226
E	IC	0.002122
E	SL	0.002108
E	SE	0.001987
E	SN	0.001382
E	SH	0.001004
E	XPN	0.000919
E	JKQ	0.000259
E	JKV	0.000252
E	NA	8.1e-05
E	SW	2.9e-05
G	NNG	0.200409
G	VV	0.094364
G	EC	0.0843
G	ETM	0.05849
G	JX	0.044909
G	SF	0.042543
G	EF	0.03991
G	JKB	0.039188
G	JKO	0.037924
G	MAG	0.030288
G	EP	0.027042
G	JKS	0.025936
G	VX	0.025014
G	NNB	0.023371
G	JKG	0.021777
G	VCP	0.021009
G	VA	0.020025
G	SS	0.017835
G	NNP	0.01719
G	XSN	0.01672
G	NP	0.016666
G	MM	0.015826
G	XSV	0.015167
G	SP	0.014611
G	XSA	0.009328
G	JC	0.005102
G	XR	0.005066
G	ETN	0.004899
G	MAJ	0.003698
G	SH	0.003373
G	JKC	0.003355
G	NR	0.003201
G	VCN	0.002488
G	SN	0.001987
G	SL	0.001707
G	IC	0.00158
G	SE	0.001508
G	XPN	0.00116
G	JKQ	0.000546
G	JKV	0.000411
G	NA	2.7e-05
G	SW	2.7e-05
G	SO	2.3e-05
H	NNG	0.251255
H	EC	0.063624
H	VV	0.059047
H	ETM	0.058121
H	JKB	0.047856
H	JX	0.036503
H	JKO	0.032881
H	JKG	0.032616
H	XSV	0.031745
H	NNB	0.030704
H	SS	0.030296
H	SF	0.027996
H	EF	0.02701
H	MAG	0.024043
H	XSN	0.023661
H	JKS	0.022118
H	NNP	0.021115
H	VCP	0.021004
H	SP	0.020842
H	VX	0.017269
H	EP	0.014739
H	SN	0.01429
H	VA	0.0134
H	MM	0.013166
H	NP	0.01145
H	XSA	0.009826
H	JC	0.008483
H	ETN	0.005778
H	XR	0.005443
H	SH	0.004987
H	MAJ	0.003933
H	SL	0.002868
H	JKC	0.002642
H	XPN	0.002584
H	NR	0.002153
H	VCN	0.002049
H	SW	0.001365
H	JKQ	0.000461
H	SE	0.000288
H	SO	0.00018
H	IC	0.000156
H	JKV	3.4e-05
H	NA	1.9e-05
J	NNG	0.197549
J	VV	0.079591
J	EC	0.078024
J	ETM	0.074542
J	JKB	0.041362
J	JX	0.040561
J	MAG	0.034259
J	JKO	0.033807
J	SF	0.033285
J	NNB	0.031962
J	EF	0.031474
J	NNP	0.030708
J	JKS	0.02566
J	EP	0.024372
J	VCP	0.024267
J	VA	0.023989
J	VX	0.023292
J	JKG	0.023083
