장르	태그	상대빈도
A	NNG	0.281372
A	EC	0.054537
A	VV	0.053289
A	ETM	0.047728
A	NNB	0.043379
A	SN	0.042902
A	JKB	0.042893
A	NNP	0.035974
A	JX	0.034393
A	JKO	0.032817
A	SS	0.030625
A	XSV	0.029565
A	SF	0.024654
A	EF	0.02344
A	JKS	0.022279
A	SP	0.02073
A	XSN	0.020134
A	JKG	0.019569
A	MAG	0.017129
A	EP	0.017093
A	VX	0.016499
A	VCP	0.012393
A	VA	0.010603
A	MM	0.007961
A	NR	0.00787
A	SW	0.006661
A	NP	0.006539
A	JC	0.006197
A	XSA	0.006175
A	SL	0.005343
A	ETN	0.004779
A	XR	0.003571
A	XPN	0.003016
A	JKQ	0.001852
A	MAJ	0.00166
A	JKC	0.001348
A	VCN	0.001005
A	SO	0.00093
A	SE	0.000537
A	SH	0.000434
A	IC	8e-05
A	JKV	2.7e-05
A	NA	1.4e-05
B	NNG	0.243844
B	VV	0.065479
B	EC	0.061785
B	ETM	0.056662
B	JKB	0.043216
B	JX	0.03789
B	JKO	0.034154
B	NNB	0.033742
B	SF	0.03288
B	EF	0.03075
B	XSV	0.027225
B	NNP	0.026919
B	SS	0.026818
B	JKG	0.023879
B	JKS	0.023772
B	MAG	0.02351
B	SN	0.020412
B	EP	0.020357
B	SP	0.019575
B	VX	0.018285
B	XSN	0.017647
B	VCP	0.017286
B	VA	0.014928
B	MM	0.011634
B	NP	0.011405
B	XSA	0.009321
B	JC	0.006501
B	SH	0.006456
B	SL	0.005955
B	ETN	0.005319
B	XR	0.004751
B	NR	0.003905
B	SW	0.003025
B	MAJ	0.00296
B	XPN	0.002133
B	JKC	0.002129
B	VCN	0.001515
B	JKQ	0.000804
B	SE	0.000428
B	SO	0.000318
B	IC	0.000312
B	JKV	0.000101
B	NA	1.5e-05
D	NNG	0.275915
D	VV	0.074577
D	EC	0.062524
D	JKB	0.057893
D	ETM	0.04699
D	SF	0.041453
D	SP	0.037339
D	JKO	0.03452
D	EF	0.032046
D	JKG	0.030924
D	NNP	0.028896
D	NNB	0.027976
D	JX	0.027098
D	XSV	0.023387
D	JKS	0.022884
D	SN	0.022567
D	SS	0.01795
D	MAG	0.014484
D	VA	0.014139
D	VCP	0.013923
D	VX	0.013362
D	MM	0.013146
D	JC	0.010198
D	EP	0.010126
D	XSN	0.009637
D	SL	0.007767
D	XSA	0.00584
D	ETN	0.003999
D	NP	0.003826
D	XR	0.003006
D	XPN	0.002244
D	JKC	0.002028
D	SW	0.001942
D	SO	0.001913
D	NR	0.001625
D	MAJ	0.001064
D	SE	0.000331
D	VCN	0.000245
D	JKQ	0.000144
D	IC	2.9e-05
D	JKV	2.9e-05
D	NA	1.4e-05
E	NNG	0.179413
E	VV	0.095763
E	EC	0.093341
E	ETM	0.05577
E	JX	0.043113
E	SF	0.041228
E	JKB	0.040266
E	MAG	0.038958
E	EF	0.038912
E	JKO	0.034811
E	EP	0.034187
E	JKS	0.029678
E	VX	0.029008
E	NP	0.027169
E	NNB	0.024991
E	VA	0.021247
E	SS	0.021002
E	VCP	0.01937
E	JKG	0.015694
E	NNP	0.015602
E	XSV	0.013947
E	MM	0.013817
E	XSN	0.012663
E	XSA	0.011718
E	SP	0.011521
E	XR	0.00613
E	ETN	0.005448
E	JC	0.00418
E	MAJ	0.003954
E	NR	0.002389
E	JKC	0.002345
E	VCN	0.002226
E	IC	0.002122
E	SL	0.002108
E	SE	0.001987
E	SN	0.001382
E	SH	0.001004
E	XPN	0.000919
E	JKQ	0.000259
E	JKV	0.000252
E	NA	8.1e-05
E	SW	2.7e-05
G	NNG	0.200409
G	VV	0.094364
G	EC	0.0843
G	ETM	0.05849
G	JX	0.044909
G	SF	0.042543
G	EF	0.03991
G	JKB	0.039188
G	JKO	0.037924
G	MAG	0.030288
G	EP	0.027042
G	JKS	0.025936
G	VX	0.025014
G	NNB	0.023371
G	JKG	0.021777
G	VCP	0.021009
G	VA	0.020025
G	SS	0.017835
G	NNP	0.01719
G	XSN	0.01672
G	NP	0.016666
G	MM	0.015826
G	XSV	0.015167
G	SP	0.014611
G	XSA	0.009328
